filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3mu6_msonly_L1MU6_EMPTY,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e100_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e10_lhvloose_L1EM7,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e10_lhvloose_nod0_L1EM7,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e120_lhloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28336,250372,8.835827216261999
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e120_lhloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e120_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e12_lhloose_2mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e12_lhloose_nod0_2mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28555,250652,8.777867273682368
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e12_lhvloose_L1EM10VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e12_lhvloose_nod0_L1EM10VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28687,250764,8.741381113396312
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e12_loose_2mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28336,250456,8.83879164313947
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e140_lhloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e140_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e15_lhvloose_L1EM13VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e15_lhvloose_nod0_L1EM7,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhloose_2e9_lhloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhloose_mu14,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28362,250484,8.831676186446654
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhloose_nod0_2e9_lhloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28866,250960,8.693965218596272
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhloose_nod0_mu14,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_iloose_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29181,251212,8.608752270312875
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_nod0_iloose_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29286,251352,8.582667486170866
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_nod0_ivarloose_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29364,251436,8.562729873314263
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_nod0_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29119,251156,8.625158831003812
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_nod0_tau80_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29119,251156,8.625158831003812
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28919,251016,8.679968187005084
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhmedium_tau80_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28919,251016,8.679968187005084
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhvloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28336,250372,8.835827216261999
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
