Compressor,Iterations,Data name,Source file,Tree name,Branch name,Precision,Average compression time (ms),Average decompression time (ms),Original data size (bytes),Compressed data size (bytes),Compression ratio,Average relative error,Trunk compression level,SZ error bound mode,SZ algorithm,SZ interpolation algorithm
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,14.0,11.4,535336.0,149859.0,3.57,0.009431,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,10.6,8.0,535336.0,118018.0,4.54,0.010996,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,10.6,8.2,535336.0,118018.0,4.54,0.010996,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,1.2,0.4,535336.0,481985.0,1.11,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,1.6,0.0,535336.0,481985.0,1.11,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,116.8,1.0,313100.0,165987.0,1.89,0.000147,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,18.8,12.0,313100.0,57048.0,5.49,1.439702,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,19.0,12.6,313100.0,57048.0,5.49,1.439702,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,20.4,3.6,313100.0,57374.0,5.46,0.320395,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,19.4,3.0,313100.0,57374.0,5.46,0.320395,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,7.8,5.0,313100.0,61599.0,5.08,1.259519,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,8.4,5.0,313100.0,63601.0,4.92,1.26032,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,7.2,5.6,313100.0,37159.0,8.43,0.317504,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,9.8,2.2,313100.0,37159.0,8.43,0.317504,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,3.0,0.0,313100.0,258994.0,1.21,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_D2,3.0,3.0,0.0,313100.0,258994.0,1.21,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,70.6,1.0,313100.0,153081.0,2.05,0.00018,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,20.0,13.4,313100.0,85544.0,3.66,0.002603,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,18.4,13.8,313100.0,85544.0,3.66,0.002603,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,20.4,6.2,313100.0,90864.0,3.45,0.002284,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,20.2,6.0,313100.0,90864.0,3.45,0.002284,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,7.0,6.0,313100.0,90864.0,3.45,0.002284,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,7.4,6.0,313100.0,91863.0,3.41,0.002269,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,5.2,9.2,313100.0,76368.0,4.1,0.002603,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,6.2,5.2,313100.0,76368.0,4.1,0.002603,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,0.8,0.0,313100.0,276022.0,1.13,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_E,3.0,1.0,0.0,313100.0,276022.0,1.13,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,86.2,1.0,313100.0,176949.0,1.77,0.000172,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,21.2,15.2,313100.0,121599.0,2.57,0.00423,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,21.0,15.8,313100.0,121599.0,2.57,0.00423,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,24.0,7.0,313100.0,130855.0,2.39,0.003772,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,25.0,8.0,313100.0,130855.0,2.39,0.003772,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,10.0,7.4,313100.0,130855.0,2.39,0.003772,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,13.2,8.4,313100.0,133537.0,2.34,0.003655,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,6.6,6.0,313100.0,106140.0,2.95,0.004356,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,6.6,6.2,313100.0,106140.0,2.95,0.004356,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,1.0,0.0,313100.0,286306.0,1.09,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_eta,3.0,1.0,0.0,313100.0,286306.0,1.09,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,70.4,1.0,313100.0,167400.0,1.87,0.000165,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,19.2,14.2,313100.0,94912.0,3.3,1784.237673,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,19.4,14.2,313100.0,94912.0,3.3,1784.237673,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,21.4,7.0,313100.0,101252.0,3.09,1538.186631,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,21.2,6.6,313100.0,101252.0,3.09,1538.186631,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,8.2,6.8,313100.0,101252.0,3.09,1538.186631,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,8.2,7.2,313100.0,102420.0,3.06,1546.898005,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,6.2,5.0,313100.0,80138.0,3.91,0.069349,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,7.0,5.0,313100.0,80138.0,3.91,0.069349,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,3.0,0.0,313100.0,278535.0,1.12,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_m,3.0,4.0,0.0,313100.0,278535.0,1.12,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,87.2,1.0,313100.0,173947.0,1.8,0.000179,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,20.6,15.0,313100.0,121002.0,2.59,0.006719,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,20.4,15.2,313100.0,121002.0,2.59,0.006719,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,22.8,7.0,313100.0,118798.0,2.64,0.006967,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,23.2,10.6,313100.0,118798.0,2.64,0.006967,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,9.2,7.6,313100.0,134298.0,2.33,0.004615,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,9.2,8.0,313100.0,136428.0,2.29,0.005007,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,8.4,7.2,313100.0,105848.0,2.96,0.004274,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,7.0,6.2,313100.0,105848.0,2.96,0.004274,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,1.0,0.0,313100.0,288636.0,1.08,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_phi,3.0,1.0,0.0,313100.0,288636.0,1.08,0.0,-1,1,4,1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
,,,,,,,,,,,,,-1,-1,-1,-1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,107.0,1.0,313100.0,133929.0,2.34,0.000131,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,22.2,15.0,313100.0,120397.0,2.6,0.001808,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,22.0,15.2,313100.0,120397.0,2.6,0.001808,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,26.4,7.0,313100.0,114907.0,2.72,0.00191,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,25.4,7.0,313100.0,114907.0,2.72,0.00191,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,14.0,8.8,313100.0,134876.0,2.32,0.001688,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,12.0,7.4,313100.0,141685.0,2.21,0.001617,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,6.0,4.2,313100.0,75169.0,4.17,0.001699,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,6.4,4.2,313100.0,75169.0,4.17,0.001699,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,2.8,0.0,313100.0,225564.0,1.39,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,largeRjet_tau32,3.0,3.0,0.0,313100.0,225564.0,1.39,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,74.6,1.0,370656.0,198321.0,1.87,0.000176,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,22.2,16.0,370656.0,107289.0,3.45,0.008017,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,22.4,16.4,370656.0,107289.0,3.45,0.008017,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,24.8,8.0,370656.0,114823.0,3.23,0.007001,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,24.2,8.0,370656.0,114823.0,3.23,0.007001,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,8.8,8.0,370656.0,114823.0,3.23,0.007001,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,9.0,8.0,370656.0,116477.0,3.18,0.006957,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,6.2,6.0,370656.0,96574.0,3.84,0.008084,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,6.4,6.0,370656.0,96574.0,3.84,0.008084,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,1.2,0.0,370656.0,333443.0,1.11,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_E,3.0,1.0,0.0,370656.0,333443.0,1.11,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_eta,3.0,97.4,1.0,370656.0,210307.0,1.76,0.000176,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,lep_eta,3.0,24.2,18.0,370656.0,134601.0,2.75,0.01666,-1,1,0,0
