Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-lep_pt_syst,3,-1,1,2,0,8.2,4,7.536722244814966,49180,370656,0.3989311231247605
SZ,5,mini-lep_pt_syst,3,-1,1,2,1,8.6,4,7.387411806911946,50174,370656,0.4005259598253292
SZ,5,mini-lep_pt_syst,3,-1,1,3,0,6.2,2.2,10.019625334522747,36993,370656,0.3302552552522875
SZ,5,mini-lep_pt_syst,3,-1,1,3,1,6.6,2.6,10.019625334522747,36993,370656,0.3302552552522875
SZ,5,mini-lep_pt_syst,3,-1,1,4,0,1,1.37963831394413e-310,1.099106258562304,337234,370656,0
SZ,5,mini-lep_pt_syst,3,-1,1,4,1,1,1.3863793987835e-310,1.099106258562304,337234,370656,0
Trunk,5,mini-jet_pt_syst,3,9,-1,-1,-1,159,1.2,1.9619582346861737,272858,535336,nan
SZ,5,mini-jet_pt_syst,3,-1,1,0,0,32.4,21.2,5.387354205033763,99369,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,0,1,32,21.6,5.387354205033763,99369,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,1,0,34.8,11.2,4.948384234267544,108184,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,1,1,34.6,9,4.948384234267544,108184,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,2,0,12.4,8.8,4.948384234267544,108184,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,2,1,12.8,9.2,4.869922766927143,109927,535336,inf
SZ,5,mini-jet_pt_syst,3,-1,1,3,0,10.2,6.2,6.038009948004196,88661,535336,nan
SZ,5,mini-jet_pt_syst,3,-1,1,3,1,9.8,6,6.038009948004196,88661,535336,nan
SZ,5,mini-jet_pt_syst,3,-1,1,4,0,1.6,1.38942744858094e-310,1.1265559336443622,475197,535336,nan
SZ,5,mini-jet_pt_syst,3,-1,1,4,1,1.4,1.38756033800166e-310,1.1265559336443622,475197,535336,nan
Trunk,5,mini-photon_pt_syst,3,9,-1,-1,-1,0,1.39058768212105e-310,0,8,0,-nan
Trunk,5,mini-tau_pt_syst,3,9,-1,-1,-1,0,1.39051702707316e-310,0,8,0,-nan
Trunk,5,mini-largeRjet_pt,3,9,-1,-1,-1,136.6,1,2.320651650249409,134919,313100,0.0001884753181817379
SZ,5,mini-largeRjet_pt,3,-1,1,0,0,20.6,14.2,4.09913330365793,76382,313100,0.001825107057216494
SZ,5,mini-largeRjet_pt,3,-1,1,0,1,20.8,17.4,4.09913330365793,76382,313100,0.001825107057216494
SZ,5,mini-largeRjet_pt,3,-1,1,1,0,22.2,6.2,3.8133167695811565,82107,313100,0.001594712775031492
SZ,5,mini-largeRjet_pt,3,-1,1,1,1,22,6,3.8133167695811565,82107,313100,0.001594712775031492
SZ,5,mini-largeRjet_pt,3,-1,1,2,0,9,6.2,3.8133167695811565,82107,313100,0.001594712775031492
SZ,5,mini-largeRjet_pt,3,-1,1,2,1,7.4,6,3.7673870144871735,83108,313100,0.0015900947192902745
SZ,5,mini-largeRjet_pt,3,-1,1,3,0,6.8,4.4,4.624337217717518,67707,313100,0.0018106675393651022
SZ,5,mini-largeRjet_pt,3,-1,1,3,1,6.4,4.2,4.624337217717518,67707,313100,0.0018106675393651022
SZ,5,mini-largeRjet_pt,3,-1,1,4,0,1.2,1.38201069842263e-310,1.1830943339190236,264645,313100,0
SZ,5,mini-largeRjet_pt,3,-1,1,4,1,1,1.3886853494314e-310,1.1830943339190236,264645,313100,0
Trunk,5,mini-largeRjet_eta,3,9,-1,-1,-1,91.8,1,1.7694363912765825,176949,313100,0.00017235418721370252
SZ,5,mini-largeRjet_eta,3,-1,1,0,0,22.6,16.2,2.5748567011241867,121599,313100,0.004229887557774929
