Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-jet_phi,3,-1,1,4,1,2.2,1.39055647713075e-310,1.0846575747690723,493553,535336
Trunk,5,mini-jet_E,3,9,-1,-1,-1,105.8,1,1.8772719143519412,285167,535336
SZ,5,mini-jet_E,3,-1,1,0,0,31.4,23.8,3.917140452932353,136665,535336
SZ,5,mini-jet_E,3,-1,1,0,1,32.6,23.8,3.917140452932353,136665,535336
SZ,5,mini-jet_E,3,-1,1,1,0,35.2,11,3.6297411279714686,147486,535336
SZ,5,mini-jet_E,3,-1,1,1,1,35.6,11,3.6297411279714686,147486,535336
SZ,5,mini-jet_E,3,-1,1,2,0,13.4,11.2,3.6297411279714686,147486,535336
SZ,5,mini-jet_E,3,-1,1,2,1,14,11.2,3.5839832897053605,149369,535336
SZ,5,mini-jet_E,3,-1,1,3,0,10.6,8.2,4.458643923809206,120067,535336
SZ,5,mini-jet_E,3,-1,1,3,1,10,8,4.458643923809206,120067,535336
SZ,5,mini-jet_E,3,-1,1,4,0,1.6,1.3906189956382e-310,1.1054996613305579,484248,535336
SZ,5,mini-jet_E,3,-1,1,4,1,1.6,1.39066487669845e-310,1.1054996613305579,484248,535336
Trunk,5,mini-jet_jvt,3,9,-1,-1,-1,376,1,3.3613753524089387,159261,535336
SZ,5,mini-jet_jvt,3,-1,1,0,0,33.2,27.8,3.7137426292056883,144150,535336
SZ,5,mini-jet_jvt,3,-1,1,0,1,33,24,3.7137426292056883,144150,535336
SZ,5,mini-jet_jvt,3,-1,1,1,0,34,8.6,3.932332870564211,136137,535336
SZ,5,mini-jet_jvt,3,-1,1,1,1,34.4,8.6,3.932332870564211,136137,535336
SZ,5,mini-jet_jvt,3,-1,1,2,0,14.4,10.6,3.5822565427158546,149441,535336
SZ,5,mini-jet_jvt,3,-1,1,2,1,14.8,11.2,3.4155485373400962,156735,535336
SZ,5,mini-jet_jvt,3,-1,1,3,0,10,6,5.473839200809825,97799,535336
SZ,5,mini-jet_jvt,3,-1,1,3,1,10,6,5.473839200809825,97799,535336
SZ,5,mini-jet_jvt,3,-1,1,4,0,5,1.3905907378437e-310,1.407205099559703,380425,535336
SZ,5,mini-jet_jvt,3,-1,1,4,1,5.2,1.3906278543783e-310,1.407205099559703,380425,535336
Trunk,5,mini-jet_MV2c10,3,9,-1,-1,-1,180.8,1.4,2.069443263261251,258686,535336
SZ,5,mini-jet_MV2c10,3,-1,1,0,0,34.6,26.2,2.9124263509800827,183811,535336
SZ,5,mini-jet_MV2c10,3,-1,1,0,1,35.4,26.4,2.9124263509800827,183811,535336
SZ,5,mini-jet_MV2c10,3,-1,1,1,0,38,13.2,2.704946692941236,197910,535336
SZ,5,mini-jet_MV2c10,3,-1,1,1,1,42.6,13,2.704946692941236,197910,535336
SZ,5,mini-jet_MV2c10,3,-1,1,2,0,15,13.2,2.704946692941236,197910,535336
SZ,5,mini-jet_MV2c10,3,-1,1,2,1,15.8,16.6,2.6492339364187023,202072,535336
SZ,5,mini-jet_MV2c10,3,-1,1,3,0,10.6,10.2,3.4871901768556817,153515,535336
SZ,5,mini-jet_MV2c10,3,-1,1,3,1,11.2,10.2,3.4871901768556817,153515,535336
SZ,5,mini-jet_MV2c10,3,-1,1,4,0,1.6,1.39064291267025e-310,1.145542357394596,467321,535336
SZ,5,mini-jet_MV2c10,3,-1,1,4,1,1.4,1.390521360125e-310,1.145542357394596,467321,535336
Trunk,5,mini-photon_pt,3,9,-1,-1,-1,1.39056233178193e-310,0,0,8,0
Trunk,5,mini-photon_eta,3,9,-1,-1,-1,1.39051735136095e-310,0,0,8,0
Trunk,5,mini-photon_phi,3,9,-1,-1,-1,1.39058160906376e-310,0,0,8,0
Trunk,5,mini-photon_ptcone30,3,9,-1,-1,-1,1.39064939141235e-310,0,0,8,0
Trunk,5,mini-photon_etcone20,3,9,-1,-1,-1,1.3906654190967e-310,0,0,8,0
Trunk,5,mini-tau_pt,3,9,-1,-1,-1,1.3906482762711e-310,0,0,8,0
Trunk,5,mini-tau_eta,3,9,-1,-1,-1,1.39051783335445e-310,0,0,8,0
Trunk,5,mini-tau_phi,3,9,-1,-1,-1,1.390627068382e-310,0,0,8,0
Trunk,5,mini-tau_E,3,9,-1,-1,-1,1.39053048470925e-310,0,0,8,0
Trunk,5,mini-tau_BDTid,3,9,-1,-1,-1,1.3905543438827e-310,0,0,8,0
Trunk,5,mini-lep_pt_syst,3,9,-1,-1,-1,82.8,1,1.8266204741793524,202919,370656
SZ,5,mini-lep_pt_syst,3,-1,1,0,0,21.2,12.4,9.087155850842139,40789,370656
SZ,5,mini-lep_pt_syst,3,-1,1,0,1,22.6,12.4,9.087155850842139,40789,370656
SZ,5,mini-lep_pt_syst,3,-1,1,1,0,23.4,4.6,7.536722244814966,49180,370656
SZ,5,mini-lep_pt_syst,3,-1,1,1,1,23,4.2,7.536722244814966,49180,370656
SZ,5,mini-lep_pt_syst,3,-1,1,2,0,7.4,4,7.536722244814966,49180,370656
SZ,5,mini-lep_pt_syst,3,-1,1,2,1,8.2,4.4,7.387411806911946,50174,370656
SZ,5,mini-lep_pt_syst,3,-1,1,3,0,6.2,2,10.019625334522747,36993,370656
SZ,5,mini-lep_pt_syst,3,-1,1,3,1,6.2,2,10.019625334522747,36993,370656
SZ,5,mini-lep_pt_syst,3,-1,1,4,0,1.2,1.39062948703143e-310,1.099106258562304,337234,370656
SZ,5,mini-lep_pt_syst,3,-1,1,4,1,1.2,1.3906166183143e-310,1.099106258562304,337234,370656
Trunk,5,mini-jet_pt_syst,3,9,-1,-1,-1,149,1,1.9619582346861737,272858,535336
SZ,5,mini-jet_pt_syst,3,-1,1,0,0,32,21.8,5.387354205033763,99369,535336
SZ,5,mini-jet_pt_syst,3,-1,1,0,1,31.8,21.2,5.387354205033763,99369,535336
SZ,5,mini-jet_pt_syst,3,-1,1,1,0,34.2,9,4.948384234267544,108184,535336
SZ,5,mini-jet_pt_syst,3,-1,1,1,1,33.4,9,4.948384234267544,108184,535336
SZ,5,mini-jet_pt_syst,3,-1,1,2,0,12.6,9.2,4.948384234267544,108184,535336
SZ,5,mini-jet_pt_syst,3,-1,1,2,1,17,9,4.869922766927143,109927,535336
SZ,5,mini-jet_pt_syst,3,-1,1,3,0,9.6,6,6.038009948004196,88661,535336
SZ,5,mini-jet_pt_syst,3,-1,1,3,1,10,6,6.038009948004196,88661,535336
SZ,5,mini-jet_pt_syst,3,-1,1,4,0,2,1.39051547763285e-310,1.1265559336443622,475197,535336
SZ,5,mini-jet_pt_syst,3,-1,1,4,1,1.4,1.390606333139e-310,1.1265559336443622,475197,535336
Trunk,5,mini-photon_pt_syst,3,9,-1,-1,-1,1.3905288466728e-310,0,0,8,0
Trunk,5,mini-tau_pt_syst,3,9,-1,-1,-1,1.3906605190594e-310,0,0,8,0
Trunk,5,mini-largeRjet_pt,3,9,-1,-1,-1,131.2,1,2.320651650249409,134919,313100
SZ,5,mini-largeRjet_pt,3,-1,1,0,0,19.8,14,4.09913330365793,76382,313100
SZ,5,mini-largeRjet_pt,3,-1,1,0,1,20,14,4.09913330365793,76382,313100
SZ,5,mini-largeRjet_pt,3,-1,1,1,0,20.6,6,3.8133167695811565,82107,313100
SZ,5,mini-largeRjet_pt,3,-1,1,1,1,23.2,6.2,3.8133167695811565,82107,313100
SZ,5,mini-largeRjet_pt,3,-1,1,2,0,7.8,6,3.8133167695811565,82107,313100
SZ,5,mini-largeRjet_pt,3,-1,1,2,1,8,6,3.7673870144871735,83108,313100
SZ,5,mini-largeRjet_pt,3,-1,1,3,0,6.6,4,4.624337217717518,67707,313100
SZ,5,mini-largeRjet_pt,3,-1,1,3,1,6.4,4,4.624337217717518,67707,313100
SZ,5,mini-largeRjet_pt,3,-1,1,4,0,1,1.39058894065753e-310,1.1830943339190236,264645,313100
SZ,5,mini-largeRjet_pt,3,-1,1,4,1,1,1.3905234849031e-310,1.1830943339190236,264645,313100
Trunk,5,mini-largeRjet_eta,3,9,-1,-1,-1,-88.8,1,1.7694363912765825,176949,313100
SZ,5,mini-largeRjet_eta,3,-1,1,0,0,21.2,15.2,2.5748567011241867,121599,313100
SZ,5,mini-largeRjet_eta,3,-1,1,0,1,21.6,16,2.5748567011241867,121599,313100
SZ,5,mini-largeRjet_eta,3,-1,1,1,0,24,8.2,2.3927247716938598,130855,313100
SZ,5,mini-largeRjet_eta,3,-1,1,1,1,24.6,8,2.3927247716938598,130855,313100
SZ,5,mini-largeRjet_eta,3,-1,1,2,0,10.2,8.2,2.3927247716938598,130855,313100
SZ,5,mini-largeRjet_eta,3,-1,1,2,1,10.2,8.4,2.3446685188374756,133537,313100
SZ,5,mini-largeRjet_eta,3,-1,1,3,0,7.4,6.2,2.9498775202562655,106140,313100
SZ,5,mini-largeRjet_eta,3,-1,1,3,1,7.4,6,2.9498775202562655,106140,313100
SZ,5,mini-largeRjet_eta,3,-1,1,4,0,1,1.39057021896067e-310,1.0935851850816958,286306,313100
SZ,5,mini-largeRjet_eta,3,-1,1,4,1,1,1.3906428440402e-310,1.0935851850816958,286306,313100
Trunk,5,mini-largeRjet_phi,3,9,-1,-1,-1,81.2,1,1.7999735551633544,173947,313100
SZ,5,mini-largeRjet_phi,3,-1,1,0,0,31,15.6,2.5875605361894847,121002,313100
SZ,5,mini-largeRjet_phi,3,-1,1,0,1,21.6,15.6,2.5875605361894847,121002,313100
